id,value
Users.Korea.Japanese,1
Users.Korea.Korean,11
Users.Korea.Portuguese,1
Users.Korea.Romanian,1
Users.Korea.Spanish,10
Users.Kuwait,
Users.Kuwait.English,145
Users.Latvia,
Users.Latvia.English,189
Users.Latvia.Indonesian,2
Users.Latvia.Polish,1
Users.Latvia.Russian,4
Users.Lebanon,
Users.Lebanon.English,132
Users.Lebanon.French,10
Users.Lithuania,
Users.Lithuania.English,277
Users.Lithuania.German,1
Users.Lithuania.Polish,1
Users.Lithuania.Russian,1
Users.Lithuania.Spanish,2
Users.Lithuania.Swedish,1
Users.Malaysia,
Users.Malaysia.Chinese,16
Users.Malaysia.Dutch,1
Users.Malaysia.English,3359
Users.Malaysia.French,4
Users.Malaysia.German,1
Users.Malaysia.Hindi,3
Users.Malaysia.Indonesian,39
Users.Malaysia.Japanese,1
Users.Malaysia.Malay,35
Users.Malaysia.Spanish,3
Users.Malta,
Users.Malta.Czech,1
Users.Malta.Dutch,1
Users.Malta.English,211
Users.Malta.French,2
Users.Mexico,
Users.Mexico.Afrikaans,1
Users.Mexico.Albanian,2
Users.Mexico.Arabic,1
Users.Mexico.Bulgarian,2
Users.Mexico.Catalan,8
Users.Mexico.Danish,1
Users.Mexico.Dutch,4
Users.Mexico.English,2877
Users.Mexico.Esperanto,22
Users.Mexico.Estonian,2
Users.Mexico.Filipino,1
Users.Mexico.Finnish,1
Users.Mexico.French,9
Users.Mexico.German,2
Users.Mexico.Hindi,1
Users.Mexico.Italian,1
Users.Mexico.Japanese,3
Users.Mexico.Latin,138
Users.Mexico.Malay,1
Users.Mexico.Polish,1
Users.Mexico.Portuguese,16
Users.Mexico.Russian,1
Users.Mexico.Serbian,2
Users.Mexico.Slovak,5
Users.Mexico.Spanish,20156
Users.Mexico.Swedish,5
Users.Morocco,
Users.Morocco.English,68
Users.Morocco.Esperanto,1
Users.Morocco.French,115
Users.Morocco.Spanish,2
Users.Netherlands,
Users.Netherlands.Albanian,1
Users.Netherlands.Czech,1
Users.Netherlands.Dutch,429
Users.Netherlands.English,5345
Users.Netherlands.Esperanto,1
Users.Netherlands.Filipino,1
Users.Netherlands.French,23
Users.Netherlands.German,13
Users.Netherlands.Indonesian,31
Users.Netherlands.Italian,1
Users.Netherlands.Latin,1
Users.Netherlands.Norwegian,1
Users.Netherlands.Polish,2
Users.Netherlands.Portuguese,5
Users.Netherlands.Russian,1
Users.Netherlands.Slovak,1
Users.Netherlands.Spanish,19
Users.Netherlands Antilles,
Users.Netherlands Antilles.English,48
Users.Netherlands Antilles.Spanish,2
Users.New Zealand,
Users.New Zealand.English,5481
Users.New Zealand.French,9
Users.New Zealand.Others,26
Users.Nicaragua,
Users.Nicaragua.English,41
Users.Nicaragua.Latin,5
Users.Nicaragua.Spanish,150
Users.Norway,
Users.Norway.Dutch,1
Users.Norway.English,1931
Users.Norway.Esperanto,1
Users.Norway.French,7
Users.Norway.German,3
Users.Norway.Indonesian,15
Users.Norway.Norwegian,59
Users.Norway.Polish,3
Users.Norway.Portuguese,1
Users.Norway.Spanish,12
Users.Norway.Swedish,3
Users.Pakistan,
Users.Pakistan.Afrikaans,5
Users.Pakistan.Albanian,1
Users.Pakistan.Arabic,2
Users.Pakistan.Bulgarian,3
Users.Pakistan.Catalan,2
Users.Pakistan.English,558
Users.Pakistan.Estonian,1
Users.Pakistan.Hindi,3
Users.Panama,
Users.Panama.Arabic,1
Users.Panama.English,132
Users.Panama.Latin,2
Users.Panama.Portuguese,1
Users.Panama.Spanish,351
Users.Paraguay,
Users.Paraguay.English,30
Users.Paraguay.Latin,1
Users.Paraguay.Portuguese,1
Users.Paraguay.Spanish,234
Users.Peru,
Users.Peru.Albanian,2
Users.Peru.Catalan,1
Users.Peru.Chinese,1
Users.Peru.Czech,1
Users.Peru.English,341
Users.Peru.Esperanto,4
Users.Peru.Farsi,1
Users.Peru.French,3
Users.Peru.German,1
Users.Peru.Latin,13
Users.Peru.Portuguese,2
Users.Peru.Spanish,2650
Users.Philippines,
Users.Philippines.Afrikaans,2
Users.Philippines.Chinese,2
Users.Philippines.Dutch,3
Users.Philippines.English,15927
Users.Philippines.Esperanto,3
Users.Philippines.Filipino,256
Users.Philippines.French,3
Users.Philippines.German,3
Users.Philippines.Greek,2
Users.Philippines.Indonesian,6
Users.Philippines.Italian,3
Users.Philippines.Japanese,10
Users.Philippines.Korean,1
Users.Philippines.Portuguese,2
Users.Philippines.Spanish,4
Users.Philippines.Vietnamese,1
Users.Poland,
Users.Poland.Albanian,2
Users.Poland.Catalan,1
Users.Poland.English,1582
Users.Poland.Esperanto,1
Users.Poland.Farsi,1
Users.Poland.French,12
Users.Poland.German,6
Users.Poland.Indonesian,3
Users.Poland.Polish,2136
Users.Poland.Portuguese,2
Users.Poland.Punjabi,1
Users.Poland.Russian,4
Users.Poland.Serbian,1
Users.Poland.Spanish,9
Users.Poland.Swedish,1
Users.Portugal,
Users.Portugal.Catalan,1
Users.Portugal.English,1497
Users.Portugal.Esperanto,1
Users.Portugal.Filipino,1
Users.Portugal.French,19
Users.Portugal.German,4
Users.Portugal.Italian,1
Users.Portugal.Polish,1
Users.Portugal.Portuguese,749
Users.Portugal.Romanian,1
Users.Portugal.Russian,2
Users.Portugal.Spanish,29
Users.Puerto Rico,
Users.Puerto Rico.Catalan,1
Users.Puerto Rico.English,960
Users.Puerto Rico.Spanish,210
Users.Qatar,
Users.Qatar.English,154
Users.Qatar.Indonesian,1
Users.Romania,
Users.Romania.Croatian,1
Users.Romania.English,1053
Users.Romania.Esperanto,1
Users.Romania.French,7
Users.Romania.German,2
Users.Romania.Hungarian,12
Users.Romania.Indonesian,4
Users.Romania.Italian,1
Users.Romania.Portuguese,3
Users.Romania.Romanian,61
Users.Romania.Russian,1
Users.Romania.Spanish,23
Users.Russian Federation,
Users.Russian Federation.English,717
Users.Russian Federation.Russian,494
Users.Russian Federation.Others,53
Users.Saudi Arabia,
Users.Saudi Arabia.English,229
Users.Saudi Arabia.Others,7
Users.Serbia and Montenegro,
Users.Serbia and Montenegro.English,234
Users.Serbia and Montenegro.French,2
Users.Serbia and Montenegro.Hungarian,2
